"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000179761",2.00420655806878,0.26677107151133,1.22697068980046,0.21742252991774,0.827879074792427,0.88331955321766,"PIPOX","51268","pipecolic acid and sarcosine oxidase"
"ENSG00000149196",377.638233984181,0.0212339064685798,0.0978216866277541,0.217067474509842,0.828155761211202,0.883550594247407,"HIKESHI","51501","heat shock protein nuclear import factor hikeshi"
"ENSG00000170417",18.1319717086292,-0.0898572516150803,0.415074252847488,-0.21648476386729,0.828609900261407,0.883928744914703,"TMEM182","130827","transmembrane protein 182"
"ENSG00000163510",366.590286410299,0.0210075976567568,0.0970628033774081,0.216433040524012,0.828650213931222,0.883928744914703,"CWC22","57703","CWC22 spliceosome associated protein"
"ENSG00000158234",65.3148165058002,-0.0476192011523183,0.220071011370877,-0.216381071071953,0.828690719875105,0.883928744914703,"FAIM","55179","Fas apoptotic inhibitory molecule"
"ENSG00000168772",1.12417019388457,0.372449708776605,1.72545932428376,0.215855397768481,0.829100464874894,0.884301592173978,"CXXC4","80319","CXXC finger protein 4"
"ENSG00000144476",0.453947075271916,0.581824322900162,2.70006321967543,0.21548544443715,0.829388859175411,NA,"ACKR3","57007","atypical chemokine receptor 3"
"ENSG00000204420",0.453947075271916,0.581824322900162,2.70006321967543,0.21548544443715,0.829388859175411,NA,"MPIG6B","80739","megakaryocyte and platelet inhibitory receptor G6b"
"ENSG00000275674",0.453947075271916,0.581824322900162,2.70006321967543,0.21548544443715,0.829388859175411,NA,NA,NA,NA
"ENSG00000196993",0.453947075271916,0.581824322900162,2.70006321967543,0.21548544443715,0.829388859175411,NA,"NPIPB9","100507607","nuclear pore complex interacting protein family member B9"
"ENSG00000110955",10650.4251311084,0.00777354170050694,0.0360924870576643,0.215378388529649,0.829472318083297,0.884633973620128,"ATP5F1B","506","ATP synthase F1 subunit beta"
"ENSG00000122481",31.8084693928623,-0.0692204926784382,0.321633258061058,-0.215215593983436,0.829599233544142,0.884705099147982,"RWDD3","25950","RWD domain containing 3"
"ENSG00000056736",32.5325245252866,-0.0693951439061279,0.322803290391732,-0.214976569234827,0.829785586517237,0.88483959537879,"IL17RB","55540","interleukin 17 receptor B"
"ENSG00000253506",3.88854724242703,0.192328961611546,0.896863737724409,0.214446134369907,0.830199168319507,0.885216359339011,"NACA2","342538","nascent polypeptide associated complex subunit alpha 2"
"ENSG00000117419",621.598185955309,-0.016727620111209,0.0781021232158957,-0.214176253121432,0.830409613678535,0.885376486060217,"ERI3","79033","ERI1 exoribonuclease family member 3"
"ENSG00000143318",1.20004502488826,0.362035686918552,1.6966963230831,0.213376832373097,0.831033049494095,0.885976884902261,"CASQ1","844","calsequestrin 1"
"ENSG00000164764",4.41465385280621,0.190551139599685,0.895362131538862,0.212820190722366,0.831467214571361,0.886375426854375,"SBSPON","157869","somatomedin B and thrombospondin type 1 domain containing"
"ENSG00000169976",774.52597174545,0.0154626279065205,0.0727949637195155,0.21241342967213,0.831784509463211,0.886429615097454,"SF3B5","83443","splicing factor 3b subunit 5"
"ENSG00000115009",0.776307056720534,0.427322700952092,2.01258393952527,0.212325405445146,0.831853176573836,0.886429615097454,"CCL20","6364","C-C motif chemokine ligand 20"
"ENSG00000182759",0.776307056720534,0.427322700952092,2.01258393952527,0.212325405445146,0.831853176573836,0.886429615097454,"MAFA","389692","MAF bZIP transcription factor A"
"ENSG00000140853",273.268265786899,0.0245748853878687,0.115754234974543,0.212302257392771,0.831871234427788,0.886429615097454,"NLRC5","84166","NLR family CARD domain containing 5"
"ENSG00000158813",1.92520226676431,0.266215107759595,1.25411283981727,0.212273648197704,0.831893552655524,0.886429615097454,"EDA","1896","ectodysplasin A"
"ENSG00000048162",238.757727324924,-0.0271958504990727,0.128145258023648,-0.212226741110108,0.831930145487011,0.886429615097454,"NOP16","51491","NOP16 nucleolar protein"
"ENSG00000180953",20.7622610289176,0.0841841955160518,0.396824749254303,0.212144518894669,0.831994288989689,0.886429615097454,"ST20","400410","suppressor of tumorigenicity 20"
"ENSG00000100902",209.882015885063,-0.0267950608025961,0.126310652391199,-0.212136191962723,0.832000785089428,0.886429615097454,"PSMA6","5687","proteasome 20S subunit alpha 6"
"ENSG00000137860",0.858440808325783,0.431192801959621,2.03540591934169,0.211846098049612,0.832227103573791,0.886606436398506,"SLC28A2","9153","solute carrier family 28 member 2"
